AGEPH,CODPOSS,duree,lnexpo,nbrtotc,nbrtotan,chargtot,agecar,sexp,fuelc,split,usec,fleetc,sportc,coverp,powerc
55,2630,0.8136986301,-0.206165215,0,0,0,2-5,Female,Gasoil,Monthly,Private,No,No,MTPL+,66-110
41,2640,1,0,0,0,0,6-10,Female,Petrol,Monthly,Private,No,No,MTPL+,<66
32,2650,1,0,0,0,0,6-10,Female,Petrol,Monthly,Private,No,No,MTPL,<66
35,2650,1,0,2,2,3718.1053994,2-5,Female,Petrol,Once,Private,No,No,MTPL+,66-110
34,2800,0.6410958904,-0.444576238,0,0,0,2-5,Female,Petrol,Monthly,Private,No,No,MTPL+,66-110
47,2800,1,0,0,0,0,2-5,Female,Petrol,Once,Private,No,No,MTPL+,66-110
45,2820,0.5342465753,-0.626897795,0,0,0,2-5,Female,Petrol,Once,Professional,No,No,MTPL+++,66-110
39,2830,1,0,0,0,0,>10,Female,Petrol,Once,Private,No,No,MTPL,<66
36,2850,1,0,0,0,0,2-5,Female,Petrol,Once,Private,No,No,MTPL,<66
51,2870,0.7726027397,-0.257990283,0,0,0,2-5,Female,Gasoil,Monthly,Private,No,No,MTPL+,66-110
48,2920,1,0,0,0,0,2-5,Female,Petrol,Monthly,Private,No,No,MTPL+++,<66
54,2920,1,0,0,0,0,2-5,Female,Petrol,Once,Private,No,No,MTPL+++,66-110
61,2940,1,0,0,0,0,2-5,Female,Petrol,Once,Private,No,No,MTPL+++,66-110
43,2950,1,0,0,0,0,2-5,Female,Petrol,Monthly,Private,No,No,MTPL+++,66-110
34,2950,1,0,0,0,0,>10,Female,Petrol,Monthly,Private,No,No,MTPL,<66
53,2950,1,0,0,0,0,>10,Female,Petrol,Twice,Private,No,No,MTPL,66-110
48,2970,0.5287671233,-0.637207165,0,0,0,0-1,Female,Petrol,Once,Private,No,No,MTPL+,66-110
39,2970,1,0,0,0,0,2-5,Female,Petrol,Once,Private,No,Yes,MTPL+++,66-110
63,2970,1,0,0,0,0,2-5,Female,Petrol,Monthly,Private,No,No,MTPL,<66
45,2970,0.4082191781,-0.895951048,0,0,0,6-10,Female,Petrol,Monthly,Professional,No,No,MTPL+,<66
50,3000,1,0,0,0,0,6-10,Female,Petrol,Once,Private,No,No,MTPL+,<66
53,3000,1,0,0,0,0,2-5,Female,Petrol,Twice,Private,No,No,MTPL+++,>110
61,3000,1,0,0,0,0,6-10,Female,Gasoil,Once,Private,No,No,MTPL,66-110
38,3020,0.5726027397,-0.557563102,0,0,0,6-10,Female,Petrol,Monthly,Private,No,No,MTPL+,<66
32,3070,1,0,0,0,0,>10,Female,Petrol,Monthly,Private,No,Yes,MTPL,>110
55,3090,1,0,0,0,0,2-5,Female,Petrol,Monthly,Private,No,No,MTPL+,66-110
25,3110,0.1232876712,-2.093234864,0,0,0,0-1,Female,Petrol,Monthly,Private,No,No,MTPL+++,66-110
46,3110,1,0,0,0,0,2-5,Female,Petrol,Once,Private,No,No,MTPL,66-110
39,3120,1,0,1,1,1924.7692731,2-5,Female,Petrol,Once,Private,No,No,MTPL,66-110
30,3150,0.0849315068,-2.465910149,0,0,0,6-10,Female,Petrol,Twice,Private,No,No,MTPL,66-110
45,3190,1,0,0,0,0,6-10,Female,Petrol,Twice,Private,No,No,MTPL,<66
62,3200,0.2136986301,-1.543188527,0,0,0,6-10,Female,Petrol,Monthly,Private,No,No,MTPL,>110
39,3210,1,0,0,0,0,6-10,Female,Petrol,Monthly,Private,No,No,MTPL,<66
56,3300,1,0,0,0,0,>10,Female,Petrol,Monthly,Private,No,No,MTPL,<66
52,3370,1,0,0,0,0,2-5,Female,Gasoil,Once,Private,No,No,MTPL+,66-110
32,3520,1,0,0,0,0,2-5,Female,Gasoil,Monthly,Private,No,No,MTPL+,66-110
34,3520,1,0,0,0,0,2-5,Female,Petrol,Once,Private,No,No,MTPL+,66-110
50,3700,1,0,0,0,0,6-10,Female,Petrol,Twice,Private,No,No,MTPL+,<66
57,3700,1,0,0,0,0,2-5,Female,Gasoil,Once,Private,No,No,MTPL+,66-110
46,3700,1,0,1,1,1400.4001001,>10,Female,Petrol,Twice,Private,No,No,MTPL,66-110
25,3740,1,0,0,0,0,2-5,Female,Petrol,Once,Private,No,No,MTPL,<66
34,3770,1,0,0,0,0,6-10,Female,Petrol,Twice,Private,No,No,MTPL,<66
42,3800,1,0,0,0,0,>10,Female,Petrol,Twice,Private,No,No,MTPL,<66
45,4000,0.2465753425,-1.400087683,0,0,0,6-10,Female,Petrol,Monthly,Private,No,No,MTPL+,<66
32,4000,1,0,0,0,0,6-10,Female,Petrol,Twice,Private,No,No,MTPL+,66-110
63,4000,1,0,0,0,0,2-5,Female,Petrol,Twice,Private,No,No,MTPL+,66-110
35,4040,0.3287671233,-1.112405611,0,0,0,2-5,Female,Petrol,Twice,Private,No,No,MTPL,66-110
42,4040,0.7616438356,-0.27227624,0,0,0,6-10,Female,Petrol,Twice,Private,No,No,MTPL,66-110
51,4040,0.898630137,-0.106883745,0,0,0,6-10,Female,Petrol,Twice,Private,No,No,MTPL,<66
45,4100,1,0,1,1,64.625841908,6-10,Female,Petrol,Twice,Private,No,No,MTPL,<66
38,4100,0.2684931507,-1.314929875,1,3.7244897959,236.21773976,6-10,Female,Petrol,Twice,Private,No,Yes,MTPL,66-110
33,4130,0.0136986301,-4.290459441,0,0,0,2-5,Female,Petrol,Monthly,Private,No,No,MTPL,66-110
43,4140,0.0821917808,-2.498699972,0,0,0,0-1,Female,Petrol,Monthly,Private,No,No,MTPL,66-110
44,4260,1,0,0,0,0,6-10,Female,Petrol,Twice,Private,No,No,MTPL,66-110
53,4340,1,0,0,0,0,6-10,Female,Petrol,Twice,Private,No,No,MTPL+,<66
33,4350,1,0,0,0,0,2-5,Female,Petrol,Once,Private,No,No,MTPL+,66-110
36,4470,1,0,0,0,0,2-5,Female,Petrol,Once,Private,No,No,MTPL+,<66
39,4480,1,0,0,0,0,>10,Female,Petrol,Twice,Private,No,No,MTPL,<66
45,4520,0.4054794521,-0.90268508,0,0,0,6-10,Female,Petrol,Monthly,Private,No,No,MTPL,<66
40,4520,1,0,0,0,0,6-10,Female,Petrol,Thrice,Private,No,No,MTPL+,66-110
30,4540,0.2328767123,-1.457246097,0,0,0,6-10,Female,Petrol,Thrice,Private,No,No,MTPL,66-110
58,4680,1,0,0,0,0,6-10,Female,Petrol,Monthly,Private,No,No,MTPL+,<66
55,4680,1,0,0,0,0,2-5,Female,Petrol,Once,Private,No,No,MTPL,66-110
36,4880,0.2438356164,-1.411260984,0,0,0,0-1,Female,Gasoil,Monthly,Private,No,No,MTPL,66-110
32,4880,1,0,0,0,0,6-10,Female,Petrol,Twice,Private,No,No,MTPL+,<66
32,4880,1,0,0,0,0,6-10,Female,Petrol,Thrice,Private,No,Yes,MTPL+,>110
55,4910,0.2712328767,-1.304777503,0,0,0,2-5,Female,Gasoil,Monthly,Private,No,No,MTPL+++,66-110
71,4970,1,0,0,0,0,6-10,Female,Petrol,Once,Private,No,No,MTPL,<66
46,4987,0.2383561644,-1.433989235,0,0,0,>10,Female,Petrol,Monthly,Private,No,No,MTPL,66-110
57,5000,0.898630137,-0.106883745,1,1.112804878,112.86592183,0-1,Female,Petrol,Monthly,Private,No,No,MTPL+++,66-110
54,5000,1,0,0,0,0,2-5,Female,Petrol,Once,Private,No,No,MTPL,<66
39,5000,0.8630136986,-0.147324715,0,0,0,6-10,Female,Petrol,Twice,Private,No,No,MTPL,66-110
34,5000,1,0,0,0,0,6-10,Female,Petrol,Twice,Private,No,No,MTPL,66-110
31,5080,0.0849315068,-2.465910149,0,0,0,6-10,Female,Petrol,Twice,Private,No,No,MTPL+,<66
47,5190,1,0,0,0,0,2-5,Female,Gasoil,Twice,Private,No,No,MTPL+,66-110
45,5300,1,0,0,0,0,6-10,Female,Petrol,Twice,Private,No,No,MTPL+,<66
29,5310,1,0,0,0,0,6-10,Female,Petrol,Thrice,Private,No,No,MTPL+,66-110
42,5340,0.6767123288,-0.390509017,0,0,0,2-5,Female,Gasoil,Monthly,Private,No,No,MTPL+,66-110
55,5630,0.3726027397,-0.987242468,0,0,0,6-10,Female,Petrol,Monthly,Private,No,No,MTPL+,<66
38,6000,0.3342465753,-1.095876309,0,0,0,2-5,Female,Gasoil,Monthly,Private,No,No,MTPL+,66-110
31,6000,0.1780821918,-1.725510084,0,0,0,6-10,Female,Petrol,Thrice,Private,No,No,MTPL+,<66
49,6000,1,0,1,1,1785.0812719,6-10,Female,Petrol,Twice,Private,No,No,MTPL,<66
33,6000,1,0,0,0,0,2-5,Female,Petrol,Twice,Private,No,No,MTPL+,66-110
31,6000,1,0,1,1,8530.6855,6-10,Female,Petrol,Thrice,Private,No,No,MTPL,66-110
50,6140,0.3287671233,-1.112405611,0,0,0,2-5,Female,Petrol,Thrice,Private,No,No,MTPL,66-110
51,6200,0.4164383562,-0.876016833,0,0,0,>10,Female,Petrol,Twice,Private,No,No,MTPL+,<66
65,6200,0.4630136986,-0.769998639,0,0,0,>10,Female,Petrol,Twice,Private,No,No,MTPL,66-110
30,6530,0.5232876712,-0.647623926,0,0,0,6-10,Female,Petrol,Twice,Private,No,No,MTPL,66-110
53,6600,1,0,0,0,0,6-10,Female,Petrol,Twice,Private,No,No,MTPL,<66
47,6630,1,0,0,0,0,2-5,Female,Petrol,Once,Private,No,No,MTPL,66-110
36,6660,0.7150684932,-0.335376946,1,1.398467433,70.376971683,2-5,Female,Gasoil,Monthly,Private,No,No,MTPL+,66-110
51,6760,0.1506849315,-1.892564168,1,6.6363636364,128.08658425,2-5,Female,Petrol,Monthly,Private,No,No,MTPL+,66-110
37,6780,1,0,0,0,0,6-10,Female,Petrol,Twice,Private,No,No,MTPL,66-110
55,6790,1,0,0,0,0,2-5,Female,Petrol,Twice,Private,No,No,MTPL+,<66
24,6900,1,0,1,1,1601.9871145,2-5,Female,Petrol,Thrice,Private,No,No,MTPL+,>110
51,6940,0.9397260274,-0.062166906,0,0,0,6-10,Female,Petrol,Twice,Private,No,No,MTPL+,66-110
25,7000,1,0,1,1,64.625841908,6-10,Female,Petrol,Once,Private,No,No,MTPL,<66
40,7050,0.9835616438,-0.016574965,0,0,0,6-10,Female,Petrol,Monthly,Private,No,No,MTPL,<66
54,7060,1,0,0,0,0,6-10,Female,Petrol,Thrice,Private,No,No,MTPL,66-110
34,7100,1,0,0,0,0,6-10,Female,Petrol,Thrice,Private,No,No,MTPL,66-110
57,7100,1,0,0,0,0,2-5,Female,Petrol,Once,Private,No,No,MTPL,66-110
40,7100,0.098630137,-2.316378415,0,0,0,>10,Female,Petrol,Twice,Private,No,No,MTPL,66-110
45,7130,1,0,0,0,0,6-10,Female,Petrol,Twice,Private,No,No,MTPL+,<66
29,7130,0.1616438356,-1.82235991,0,0,0,2-5,Female,Petrol,Twice,Private,No,No,MTPL,66-110
50,7170,1,0,0,0,0,6-10,Female,Gasoil,Twice,Private,No,No,MTPL,66-110
43,7170,1,0,1,1,64.625841908,6-10,Female,Petrol,Thrice,Private,No,No,MTPL,66-110
34,7180,1,0,1,1,764.4540517,6-10,Female,Petrol,Monthly,Private,No,No,MTPL+,66-110
44,7190,0.7671232877,-0.26510775,0,0,0,2-5,Female,Petrol,Twice,Private,No,No,MTPL,<66
44,7300,1,0,0,0,0,2-5,Female,Petrol,Twice,Private,No,No,MTPL+,66-110
37,7300,1,0,0,0,0,2-5,Female,Petrol,Twice,Private,No,No,MTPL+,<66
41,7390,1,0,0,0,0,6-10,Female,Petrol,Monthly,Professional,No,No,MTPL,66-110
49,7800,1,0,0,0,0,6-10,Female,Petrol,Once,Private,No,No,MTPL,<66
33,7850,0.7123287671,-0.339215723,0,0,0,0-1,Female,Petrol,Once,Private,No,No,MTPL+++,66-110
27,7860,1,0,0,0,0,6-10,Female,Petrol,Once,Private,Yes,No,MTPL+,<66
28,8020,1,0,0,0,0,6-10,Female,Petrol,Twice,Private,No,No,MTPL,<66
67,8300,1,0,0,0,0,>10,Female,Petrol,Once,Professional,No,Yes,MTPL,66-110
40,8400,1,0,0,0,0,>10,Female,Petrol,Once,Private,No,No,MTPL,<66
49,8420,1,0,0,0,0,2-5,Female,Gasoil,Twice,Private,No,No,MTPL,66-110
37,8420,1,0,0,0,0,6-10,Female,Petrol,Once,Private,No,No,MTPL,66-110
51,8480,1,0,0,0,0,6-10,Female,Petrol,Once,Private,No,No,MTPL,<66
51,8500,1,0,0,0,0,6-10,Female,Petrol,Twice,Professional,Yes,Yes,MTPL,66-110
27,8500,0.5506849315,-0.596592446,0,0,0,>10,Female,Petrol,Thrice,Private,No,No,MTPL,66-110
29,8500,1,0,0,0,0,2-5,Female,Petrol,Once,Private,No,No,MTPL+++,66-110
38,8500,1,0,0,0,0,0-1,Female,Petrol,Once,Private,No,No,MTPL+,66-110
41,8500,1,0,0,0,0,6-10,Female,Petrol,Thrice,Private,No,No,MTPL,<66
38,8500,1,0,0,0,0,2-5,Female,Petrol,Once,Private,No,No,MTPL+,66-110
45,8520,0.2767123288,-1.284776837,0,0,0,2-5,Female,Petrol,Monthly,Private,No,No,MTPL,66-110
28,8530,1,0,0,0,0,2-5,Female,Petrol,Once,Private,No,No,MTPL,66-110
24,8540,1,0,0,0,0,6-10,Female,Gasoil,Once,Private,No,No,MTPL+++,66-110
38,8620,1,0,0,0,0,6-10,Female,Petrol,Twice,Private,No,No,MTPL,66-110
34,8650,0.5369863014,-0.621782694,0,0,0,6-10,Female,Petrol,Once,Private,No,No,MTPL,66-110
59,8790,1,0,0,0,0,6-10,Female,Petrol,Once,Private,No,No,MTPL,<66
64,8790,1,0,0,0,0,>10,Female,Petrol,Thrice,Private,No,No,MTPL,66-110
19,8790,0.6410958904,-0.444576238,1,1.5598290598,795.36637423,2-5,Female,Petrol,Once,Private,No,No,MTPL+++,66-110
22,8790,1,0,1,1,145.01771199,>10,Female,Petrol,Twice,Private,No,No,MTPL,66-110
43,8800,0.2,-1.609437912,0,0,0,0-1,Female,Petrol,Monthly,Private,No,No,MTPL,66-110
38,8820,1,0,0,0,0,6-10,Female,Petrol,Once,Professional,Yes,No,MTPL,<66
37,8880,1,0,0,0,0,2-5,Female,Petrol,Once,Private,No,No,MTPL,66-110
38,8890,1,0,0,0,0,2-5,Female,Petrol,Once,Private,No,No,MTPL+,66-110
40,8900,1,0,0,0,0,0-1,Female,Petrol,Twice,Private,No,No,MTPL,66-110
42,8900,1,0,0,0,0,2-5,Female,Petrol,Once,Private,No,No,MTPL,<66
39,8930,0.4136986301,-0.882617517,0,0,0,6-10,Female,Petrol,Twice,Private,No,No,MTPL,66-110
32,8940,0.6794520548,-0.386468607,0,0,0,6-10,Female,Petrol,Twice,Private,No,No,MTPL,<66
31,9000,0.4712328767,-0.752402877,0,0,0,2-5,Female,Petrol,Monthly,Private,No,No,MTPL,66-110
31,9000,1,0,0,0,0,6-10,Female,Petrol,Once,Private,No,No,MTPL,66-110
47,9000,1,0,0,0,0,2-5,Female,Petrol,Twice,Private,No,No,MTPL,<66
51,9000,1,0,0,0,0,2-5,Female,Petrol,Twice,Professional,No,No,MTPL+++,66-110
52,9000,1,0,2,2,1918.1753053,2-5,Female,Petrol,Once,Private,No,No,MTPL,66-110
50,9070,0.2356164384,-1.445550057,0,0,0,6-10,Female,Petrol,Once,Private,No,No,MTPL+++,<66
57,9100,1,0,0,0,0,2-5,Female,Petrol,Once,Private,No,No,MTPL,66-110
49,9120,1,0,0,0,0,>10,Female,Petrol,Twice,Private,No,No,MTPL,66-110
51,9140,1,0,0,0,0,6-10,Female,Petrol,Once,Professional,No,No,MTPL,66-110
37,9190,1,0,0,0,0,0-1,Female,Petrol,Once,Private,No,No,MTPL+++,66-110
27,9270,0.6164383562,-0.483796951,0,0,0,2-5,Female,Petrol,Monthly,Private,No,No,MTPL+++,66-110
32,9300,0.6712328767,-0.398639143,0,0,0,2-5,Female,Petrol,Once,Private,No,No,MTPL,66-110
34,9300,1,0,1,1,493.48163977,6-10,Female,Petrol,Monthly,Private,No,No,MTPL+,66-110
36,9300,0.0465753425,-3.06668401,0,0,0,6-10,Female,Petrol,Monthly,Private,No,No,MTPL,<66
43,9300,1,0,0,0,0,2-5,Female,Petrol,Thrice,Private,No,No,MTPL+++,>110
52,9470,1,0,0,0,0,2-5,Female,Petrol,Once,Private,No,No,MTPL,66-110
